exp_num,network,num_workers,num_envs_per_worker,num_steps,total_steps,total_time,sps,setup_time,experience_collection_time,learning_time
51,medium,1,3,256,7680,9.833086013793945,781,0.04172849655151367,5.360173940658569,4.472858190536499
52,medium,1,4,32,8192,9.59841775894165,853,0.042539358139038086,5.001152038574219,4.597003936767578
53,medium,1,4,64,8192,8.746717929840088,936,0.04734325408935547,4.827335596084595,3.9192450046539307
54,medium,1,4,128,8192,8.809319734573364,929,0.05196356773376465,5.022975206375122,3.7862696647644043
55,medium,1,4,256,10240,9.775224685668945,1047,0.04192304611206055,5.444429636001587,4.330745458602905
56,medium,1,8,32,8192,6.169497966766357,1327,0.04218769073486328,3.8693580627441406,2.3000121116638184
57,medium,1,8,64,8192,5.723169326782227,1431,0.048341989517211914,3.7516911029815674,1.9714117050170898
58,medium,1,8,128,10240,7.355094909667969,1392,0.04855656623840332,4.74365758895874,2.6113812923431396
59,medium,1,8,256,20480,10.71520209312439,1911,0.054952144622802734,6.25327205657959,4.461878776550293
60,medium,2,1,32,8192,20.959135055541992,390,0.07774543762207031,11.342334270477295,9.616215944290161
61,medium,2,1,64,8192,18.742661952972412,437,0.08610987663269043,10.532308101654053,8.210036039352417
62,medium,2,1,128,8192,19.280925750732422,424,0.08335709571838379,11.727418184280396,7.553345441818237
63,medium,2,1,256,8192,17.685898542404175,463,0.07576632499694824,10.470460891723633,7.215360403060913
64,medium,2,2,32,8192,11.944847822189331,685,0.09206795692443848,7.068680047988892,4.8758649826049805
65,medium,2,2,64,8192,12.012556791305542,681,0.0773155689239502,7.840451717376709,4.171954154968262
66,medium,2,2,128,8192,10.576218366622925,774,0.07452130317687988,6.848392963409424,3.727752685546875
67,medium,2,2,256,10240,12.315391778945923,831,0.09920334815979004,7.8553855419158936,4.459953784942627
68,medium,2,3,32,8064,9.174072265625,878,0.08104443550109863,5.862655878067017,3.311206579208374
69,medium,2,3,64,8064,8.651821374893188,932,0.09076309204101562,5.8881025314331055,2.7636115550994873
70,medium,2,3,128,7680,7.162320613861084,1072,0.08277750015258789,4.858205318450928,2.304065704345703
71,medium,2,3,256,15360,12.162266492843628,1262,0.09790849685668945,7.666650295257568,4.495567560195923
72,medium,2,4,32,8192,7.744690179824829,1057,0.08236527442932129,5.3145411014556885,2.4300005435943604
